,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,Revision,datetime
0,CodeBlock3,17,21,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,"['   public Date(int year, int month, int day){', '      this.year = year;', '      this.month = month;', '      this.day = day;', '   }']",CodeBlock12,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,0.75,1.0,1.0,4,1,2022-09-15 00:37:24.562235
1,CodeBlock3,17,21,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,"['   public Date(int year, int month, int day){', '      this.year = year;', '      this.month = month;', '      this.day = day;', '   }']",CodeBlock15,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleDate.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
2,CodeBlock3,17,21,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,"['   public Date(int year, int month, int day){', '      this.year = year;', '      this.month = month;', '      this.day = day;', '   }']",CodeBlock24,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Time.java,0.75,1.0,1.0,4,1,2022-09-15 00:37:24.562235
3,CodeBlock4,10,19,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   public static void main(String args[]){', '      Rational\ttemp1\t= new\tRational();', '      temp1.setNumerator(17);', '      temp1.setDenominator(-12);', '      temp1.printRational();', '      Rational\ttemp2\t= new\tRational(temp1.getDenominator(),15);', '      temp2.negate();', '      temp2.invert();', '      System.out.println(temp2+"" ""+temp2.add(temp1)+"" ""+temp2.toDouble());', '   }']",CodeBlock16,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
4,CodeBlock5,48,52,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   public void\tset(int numerator, int denominator){', '      this.numerator\t= numerator;', '      this.denominator = denominator;', '      this.correct();', '   }']",CodeBlock17,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
5,CodeBlock6,62,67,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   public void\tinvert(){', '      this.numerator+=this.denominator;', '      this.denominator=this.numerator-this.denominator;', '      this.numerator=this.numerator-this.denominator;', '      this.correct();', '   }']",CodeBlock18,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
6,CodeBlock7,78,85,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   private int\tgcd(int m,int n){', '      if\t(m\t% n == 0) {', '         return n;', '      } ', '      else {', '         return gcd(n,m\t% n);', '      }', '   }']",CodeBlock19,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
7,CodeBlock8,86,93,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   public Rational add(Rational that){', '      int newNumerator = this.numerator *\tthat.denominator + that.numerator *\tthis.denominator;', '      int newDenominator =\tthis.denominator * that.denominator;', '      Rational\tresult =\tnew Rational(newNumerator,\tnewDenominator).reduce();', '      result.correct();', '      this.set(result);', '      return result;', '   }']",CodeBlock20,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
8,CodeBlock9,94,99,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Rational.java,"['   private void correct(){', '      if\t(this.denominator\t< 0){ { ', '         this.negate(); } ', '         this.denominator = -this.denominator;', '      }', '   }']",CodeBlock21,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleRational.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
9,CodeBlock10,10,15,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Tile.java,"['   public static void main(String args[]){', '      Tile aTile = testTile();', '      aTile.setValue(20);', '      printTile(aTile);', '      System.out.println(aTile.equals(testTile())+"" ""+aTile.getLetter());', '   }']",CodeBlock22,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Tile.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
10,CodeBlock11,25,29,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Tile.java,"['   public static Tile testTile(){', ""      Tile tile = new Tile('Z',10);"", '      printTile(tile);', '      return tile;', '   }']",CodeBlock23,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Tile.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
11,CodeBlock12,20,24,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,"['   public Time(int hour, int minute, double second){', '      this.hour = hour;', '      this.minute = minute;', '      this.second = second;', '   }']",CodeBlock3,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Date.java,0.75,1.0,1.0,4,1,2022-09-15 00:37:24.562235
12,CodeBlock12,20,24,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,"['   public Time(int hour, int minute, double second){', '      this.hour = hour;', '      this.minute = minute;', '      this.second = second;', '   }']",CodeBlock15,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\sampleDate.java,0.75,1.0,1.0,4,1,2022-09-15 00:37:24.562235
13,CodeBlock12,20,24,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\Time.java,"['   public Time(int hour, int minute, double second){', '      this.hour = hour;', '      this.minute = minute;', '      this.second = second;', '   }']",CodeBlock24,C:/Users/soujanya basangari/Documents/Theses final code/Java_Repository_Test_Repo-main\clones\Time.java,1.0,1.0,1.0,4,1,2022-09-15 00:37:24.562235
